Regional Member,Year,"External debt outstanding ($ million)					",Subregion,Country Code
Armenia,2013,"3,899",Central Asia,ARM
Azerbaijan,2013,"6,059",Central Asia,AZE
Georgia,2013,"10,542",Central Asia,GEO
Kazakhstan,2013,"150,033",Central Asia,KAZ
Kyrgyz Republic,2013,"5,930",Central Asia,KGZ
Tajikistan,2013,"2,152",Central Asia,TJK
Turkmenistan,2013,"8,653",Central Asia,TKM
Uzbekistan,2013,"7,500",Central Asia,UZB
"Hong Kong, China",2013,"1,160,793",East Asia,HKG
Mongolia,2013,"18,280",East Asia,MNG
People's Republic of China,2013,"863,167",East Asia,CHN
Republic of Korea,2013,"423,505",East Asia,KOR
"Taipei,China",2013,"170,134",East Asia,TWN
Afghanistan,2013,"1,361",South Asia,AFG
Bangladesh,2013,"22,381",South Asia,BGD
Bhutan,2013,"1,607",South Asia,BTN
India,2013,"446,178",South Asia,IND
Maldives,2013,792,South Asia,MDV
Nepal,2013,"3,510",South Asia,NPL
Pakistan,2013,"60,900",South Asia,PAK
Sri Lanka,2013,"39,905",South Asia,LKA
Brunei Darussalam,2013,,Southeast Asia,BRN
Cambodia,2013,"4,828",Southeast Asia,KHM
Indonesia,2013,"266,109",Southeast Asia,IDN
Lao People’s Dem. Rep.,2013,"5,489",Southeast Asia,LAO
Malaysia,2013,"212,279",Southeast Asia,MYS
Myanmar,2013,"10,200",Southeast Asia,MMR
Philippines,2013,"78,489",Southeast Asia,PHL
Singapore,2013,"1,346,035",Southeast Asia,SGP
Thailand,2013,"141,933",Southeast Asia,THA
Viet Nam,2013,"45,243",Southeast Asia,VNM
Cook Islands,2013,59,The Pacific,COK
Federated States of Micronesia,2013,88,The Pacific,FSM
Fiji,2013,595,The Pacific,FJI
Kiribati,2013,14,The Pacific,KIR
Marshall Islands,2013,98,The Pacific,MHL
Nauru,2013,52,The Pacific,NRU
Palau,2013,65,The Pacific,PLW
Papua New Guinea,2013,"1,258",The Pacific,PNG
Samoa,2013,414,The Pacific,WSM
Solomon Islands,2013,102,The Pacific,SLB
Timor-Leste,2013,6,The Pacific,TLS
Tonga,2013,204,The Pacific,TON
Tuvalu,2013,20,The Pacific,TUV
Vanuatu,2013,132,The Pacific,VUT
Armenia,2014,"3,785",Central Asia,ARM
Azerbaijan,2014,"6,478",Central Asia,AZE
Georgia,2014,"10,718",Central Asia,GEO
Kazakhstan,2014,"157,562",Central Asia,KAZ
Kyrgyz Republic,2014,"6,371",Central Asia,KGZ
Tajikistan,2014,"2,098",Central Asia,TJK
Turkmenistan,2014,"8,043",Central Asia,TKM
Uzbekistan,2014,"8,399",Central Asia,UZB
"Hong Kong, China",2014,"1,301,032",East Asia,HKG
Mongolia,2014,"20,951",East Asia,MNG
People's Republic of China,2014,"1,779,900",East Asia,CHN
Republic of Korea,2014,"424,325",East Asia,KOR
"Taipei,China",2014,"177,945",East Asia,TWN
Afghanistan,2014,"1,299",South Asia,AFG
Bangladesh,2014,"24,388",South Asia,BGD
Bhutan,2014,"1,759",South Asia,BTN
India,2014,"474,675",South Asia,IND
Maldives,2014,744,South Asia,MDV
Nepal,2014,"3,617",South Asia,NPL
Pakistan,2014,"65,269",South Asia,PAK
Sri Lanka,2014,"42,914",South Asia,LKA
Brunei Darussalam,2014,,Southeast Asia,BRN
Cambodia,2014,"5,279",Southeast Asia,KHM
Indonesia,2014,"293,328",Southeast Asia,IDN
Lao People’s Dem. Rep.,2014,"6,061",Southeast Asia,LAO
Malaysia,2014,"213,951",Southeast Asia,MYS
Myanmar,2014,"8,800",Southeast Asia,MMR
Philippines,2014,"77,674",Southeast Asia,PHL
Singapore,2014,"1,398,008",Southeast Asia,SGP
Thailand,2014,"141,715",Southeast Asia,THA
Viet Nam,2014,,Southeast Asia,VNM
Cook Islands,2014,61,The Pacific,COK
Federated States of Micronesia,2014,90,The Pacific,FSM
Fiji,2014,664,The Pacific,FJI
Kiribati,2014,14,The Pacific,KIR
Marshall Islands,2014,95,The Pacific,MHL
Nauru,2014,44,The Pacific,NRU
Palau,2014,71,The Pacific,PLW
Papua New Guinea,2014,"1,366",The Pacific,PNG
Samoa,2014,415,The Pacific,WSM
Solomon Islands,2014,89,The Pacific,SLB
Timor-Leste,2014,22,The Pacific,TLS
Tonga,2014,186,The Pacific,TON
Tuvalu,2014,22,The Pacific,TUV
Vanuatu,2014,149,The Pacific,VUT
Armenia,2015,"4,316",Central Asia,ARM
Azerbaijan,2015,"6,894",Central Asia,AZE
Georgia,2015,"11,983",Central Asia,GEO
Kazakhstan,2015,"153,422",Central Asia,KAZ
Kyrgyz Republic,2015,"6,670",Central Asia,KGZ
Tajikistan,2015,"2,183",Central Asia,TJK
Turkmenistan,2015,"8,354",Central Asia,TKM
Uzbekistan,2015,"11,800",Central Asia,UZB
"Hong Kong, China",2015,"1,300,365",East Asia,HKG
Mongolia,2015,"21,590",East Asia,MNG
People's Republic of China,2015,"1,416,200",East Asia,CHN
Republic of Korea,2015,"396,058",East Asia,KOR
"Taipei,China",2015,"158,954",East Asia,TWN
Afghanistan,2015,"1,231",South Asia,AFG
Bangladesh,2015,"23,901",South Asia,BGD
Bhutan,2015,"1,855",South Asia,BTN
India,2015,"485,052",South Asia,IND
Maldives,2015,696,South Asia,MDV
Nepal,2015,"3,391",South Asia,NPL
Pakistan,2015,"65,169",South Asia,PAK
Sri Lanka,2015,"44,797",South Asia,LKA
Brunei Darussalam,2015,,Southeast Asia,BRN
Cambodia,2015,"5,648",Southeast Asia,KHM
